headword,pos,level,sentence,source_grammar_lesson_id
through,adverb,B1,She brought the heavy box through the doorway.,118
checkpoint,noun,B2,"If we had reached the checkpoint by now, we would be setting up camp for the night, but it's still a long way to go.",139
insubordination,noun,C1,His persistent insubordination was the worst aspect of his performance review.,108
accusation,noun,B2,They decided to ignore the accusation.,167
widely,adverb,A2,She herself has widely accepted the new software.,101
enroll/enrol,verb,B2,He must have enrolled in that advanced photography course he was talking about.,177
bored,adjective,A2,Can you tell me something interesting because I am bored?,86
surroundings,noun,B2,She admired the beautiful surroundings of the countryside.,164
disorderly,adjective,B2,I have never witnessed such a disorderly protest.,161
engineering,noun,B1,She studied engineering at university.,121
diverge,verb,C1,We cannot help but diverge from the original plan as new information becomes available.,85
exhausting,adjective,B2,"This entire project has been quite exhausting, hasn't it?",165
academic,adjective,B1,She thought the academic paper was too difficult.,118
visible,adjective,B1,It's difficult to see the stars when the city lights are visible.,182
queue,noun,B1,I kept in the queue for a long time.,120
illegally,adverb,B1,What did they do with the stolen goods? - They transported them illegally.,135
grandma,noun,A1,Grandma bakes cookies on Saturdays.,57
aim,noun,B1,Who was the main aim?,137
switch,noun,B1,I need to find the light switch to turn it on.,180
seismic,adjective,C2,"If the company made seismic changes to its strategy, employees would feel more secure, but they are not, and they remain worried.",139
grandpa,noun,A1,What does Grandpa cook?,60
crocodile,noun,B2,There were no crocodiles in the small pond.,173
bubbly,adjective,C1,Whose bubbly personality does he admire?,62
publisher,noun,B1,The publisher accepted my manuscript last week.,127
acrobatically,adverb,C2,The cat will be fed if it performs acrobatically.,146
independent,adjective,B1,"She learned to cook by herself, making her more independent.",125
doubtful,adjective,B2,My chances of finishing this project on time are looking doubtful.,160
boom,noun,B1,That wasn't a successful boom.,134
button,noun,A1,Whose shirt has a red button?,62
bomber,noun,B2,The pilot decided to abandon the bomber.,167
mirror,noun,A2,"You can see your face in this mirror, can't you?",89
recluse,noun,C2,No one expected the old author to be a recluse.,173
traditional,adjective,A2,"This bread is good, but that one is more traditional.",106
divergence,noun,C1,The initial divergence of opinion among the committee members led to several distinct proposals being presented.,24
weird,adjective,B1,My uncle would tell these weird stories about his childhood.,178
honk,noun,C1,There were no honks from the geese that morning.,40
deprecate,verb,C2,They had the outdated software deprecated by the IT department.,181
matter,verb,A2,This is not something that can matter to yourself.,101
goods,noun,B1,We traded some precious goods last week.,127
balcony,noun,A2,You may place plants on the balcony.,99
stopover,noun,B2,The short stopover has been arranged.,166
downstairs,adjective,B1,I put the old newspapers in the downstairs bin this morning.,125
mastery,noun,B2,There was no sign of his emotional mastery in his outburst.,173
fever,noun,A1,a touch of fever,42
square,adjective,A2,Can you see that square table?,86
skate,noun,A2,Where can I buy a new skate?,93
retrieve,verb,B2,We will have to retrieve the forgotten documents from the archive.,140
segment,noun,B2,The company had already broken the market into several segments.,154
laboratory,noun,B1,The scientist worked in the laboratory.,131
annex,noun,C2,We had the old annex attached to the main building.,181
pyre,noun,C2,They have never witnessed a funeral pyre.,161
accurately,adverb,B1,She remembered the events accurately yesterday.,115
paintbrush,noun,B2,He had his old paintbrush restored by a professional artist.,181
homestead,noun,C2,She considered expanding her homestead after the harvest.,169
optimist,noun,B2,"She was always an optimist, having overcome many challenges.",154
argument,noun,A2,You may not win this argument.,97
diplomat,noun,B2,The experienced diplomat chose to remain silent during the heated negotiations.,167
upstairs,adverb,A2,Who can get the book from upstairs?,88
special,adjective,A1,I don't want a special gift.,49
pullover,noun,B1,Did you buy that nice blue pullover at the shop?,133
motivate,verb,B1,"You didn't help motivate him to finish the project, did you?",138
individualism,noun,C2,The importance of individualism was emphasized in the meeting.,145
adversity,noun,B2,She has never faced true adversity before.,161
thump,verb,B1,The dog's tail began to thump against the floor.,180
terribly,adverb,B1,She was terribly upset after she went home.,122
plutocrat,noun,C2,The new regulations may be circumvented by a wealthy plutocrat.,147
responsible,adjective,B1,The manager explained that he was responsible for the project's success.,174
happily,adverb,A2,He is happily playing with his toys.,71
lazy,adjective,A1,Is that a lazy cat?,7
antiaircraft,adjective,B2,The soldiers have just deployed their antiaircraft defenses.,160
negotiation,noun,B1,The successful negotiation which ended yesterday will help our company grow.,175
advanced,adjective,A2,I cannot understand the advanced instructions.,85
equip,verb,B2,The school will soon equip students with the necessary skills for the future.,141
granddaughter,noun,A2,May my granddaughter use your phone?,98
adventurous,adjective,B2,Has that adventurous journey been planned for a while?,158
spin,verb,B2,Have you ever tried to spin a yarn?,162
sunlight,noun,A2,This sunlight is brighter than yesterday's.,107
grim,adjective,B2,"If they had a better plan, the future wouldn't look so grim.",139
its,pronoun,A1,Is it the dog and its toy?,4
organization/organisation,noun,B1,The new girl was responsible for the whole organization.,137
rival,noun,B2,Did any of the other companies see our new product as a serious rival?,172
close,verb,A1,Who closes the door?,63
prefix,noun,B1,She attached the incorrect prefix to the word.,114
invasion,noun,B1,Their backyard was a green invasion of weeds.,123
crack,verb,B2,Have you ever managed to crack the code?,162
ought to,modal auxiliary,B1,Someone ought to have locked the door.,136
taciturnity,noun,C2,"Her taciturnity was an unexpected, yet appreciated, silence.",143
educate,verb,B1,We educated the children about recycling last week.,124
outside,adverb,A1,Are there any people outside?,41
cough,noun,B2,My persistent cough kept me awake all night.,164
weave,noun,B2,The intricate weave of their friendship will be tested by this new challenge.,146
class,verb,C1,Do you class your morning walk as a proper workout?,50
affectionate,adjective,B2,Some of the stray cats are very affectionate towards visitors.,171
interlocking,adjective,C2,Are these interlocking pieces used in the puzzle?,158
strength,noun,A2,What kind of help must he ask for? He must ask for help that shows his strength.,93
fragrance,noun,B2,The jasmine's sweet fragrance will be able to fill the garden as it blooms.,141
addressee,noun,B1,The sender checked the address of the addressee carefully.,114
cloister,noun,C2,What quiet places have you visited? - The hushed cloister offered a moment of peace.,163
fish,verb,B1,I didn't fish in that river last week.,132
rape,verb,B2,"It is difficult to construct a natural, sensible B2 CEFR-level English sentence using ""rape"" as a verb following the pattern ""Verb + infinitive (plan, promise)"". The word ""rape"" is a violent act and does not typically pair with verbs like ""plan"" or ""promise"" in a way that fits this grammar.

However, if we slightly adapt the pattern to focus on the act of violation and its aftermath, a sentence could be crafted. This adaptation is to ensure a natural and sensible sentence, prioritizing meaning over rigid pattern adherence.

He refused to acknowledge how his actions seemed to rape her spirit.",168
unthinkably,adverb,B2,The results of the experiment were unthinkably bad.,159
narrate,verb,B1,She narrated the story of her childhood.,127
aimless,adjective,C1,What kind of wandering is that? - It's aimless.,23
history,noun,A1,What kind of books do you like? - I like history books.,53
though,conjunction,A2,"May I borrow your book, though?",98
synonym,noun,B2,"She must have forgotten the word ""synonym"" — she's using the same adjective repeatedly.",177
unsettle,verb,C1,Rumors of layoffs may deeply unsettle long-term employees.,100
witness,noun,B2,The accident was witnessed by many people.,156
reprove,verb,B2,She must have been disappointed to reprove her son for his behavior.,177
short/shorts,noun,A2,These shorts are shorter than my old ones.,107
anti,adjective,B1,They didn't feel anti-social at the party.,132
due,adjective,A1,These five assignments are due next week.,27
beginner,noun,A2,The beginner won't finish the course this year.,79
brochure,noun,B2,Where did you find that attractive brochure for the art exhibition?,159
surveillance,noun,B2,I wish the company hadn't installed so much surveillance in the office.,179
unacceptable,adjective,B2,Their behavior at the party was completely unacceptable.,159
comma,noun,B1,"She sang a song, and the last word ended with a comma.",124
indoor,adjective,A2,Indoor games are more convenient than outdoor games.,106
habitat,noun,B1,The developers dreamt that their new construction would not harm the local bird habitat.,126
nonchalant,adjective,C2,She spoke with a nonchalant air about the difficult situation.,154
whisper,noun,B1,He heard a whisper of excitement in her voice.,121
purse,noun,B1,She said that she had lost her purse.,174
unpredictable,adjective,B1,"The weather here is often unpredictable, so I always pack an umbrella.",125
converse,noun,B2,The lively converse about the film must have continued for hours.,177
gorgeous,adjective,B1,The sunset looked gorgeous as it went down.,180
unsatisfactory,adjective,B2,The progress made on this project is consistently unsatisfactory.,144
hanging,noun,C1,"The slow, suspenseful hanging of the plot was more captivating than any fast-paced action sequence.",109
wrap,noun,B1,She finished the colorful wrap last night.,119
affection,noun,B1,She thought about the affection he had shown her.,118
cross,verb,A2,What will you cross when you go to the park?,81
that,adverb,B2,Have you ever travelled that far before?,162
scheme,noun,B2,What kind of new recycling scheme have you heard about?,163
destructive,adjective,B1,The fire was destructive.,124
haunt,verb,B2,"The memories of the abandoned house continue to haunt him, but he's finally allowed to move on.",142
become,verb,A1,Will this become a long story?,7
materialistic,adjective,C2,He is able to resist being materialistic.,141
handle,verb,B1,She **handle**d the difficult situation very well.,116
blast,noun,B2,The entire street will be cleared for the fireworks blast.,146
shambles,noun,C1,The third attempt to organize the project left the entire operation in a complete shambles.,113
slap,noun,B2,The unexpected comment was a real slap in the face.,149
sunny,adjective,A1,How many sunny days have you had?,31
cast,verb,B2,The director decided to cast a new actor in the lead role.,168
poise,verb,C2,I have never been able to poise my fear when speaking in public.,161
bustling,adjective,B2,We will be able to find a quiet corner in that bustling market.,141
junior,adjective,A2,He is working as a junior assistant at the moment.,75
nano,noun,B2,There was no nano-technology available for the experiment.,173
alone,adverb,A1,What has he got alone?,18
dining room,noun,A1,Go to the dining room.,43
prejudice,noun,B1,He realized his own prejudice when he saw the man's kindness.,114
rocky,adjective,B2,The path up the mountain is often described as rocky.,144
lack,noun,A2,I'm feeling a lack of energy today.,70
ling,noun,B2,He felt a lingering doubt about the ling he had caught.,150
cessation,noun,C1,I contemplate the cessation of hostilities with cautious optimism.,170
all,adverb,A2,We are all learning English.,72
besides,adverb,A2,"If you finish your homework, besides you can watch TV.",102
economics,noun,B1,She didn't study economics at university.,132
unadulterated,adjective,C2,This joy is often experienced as unadulterated happiness.,144
roll,noun,A2,Who can make a nice bread roll?,88
credible,adjective,C1,a report with a few pages of credible data,42
uplifted,adjective,B1,It's uplifting to see people helping each other.,182
pneumonia,noun,B2,She must have had pneumonia last winter because she was coughing for weeks.,177
daily,adverb,A2,The student must read for thirty minutes daily.,94
gossip,verb,B2,He's always gossiped about his colleagues behind their backs.,154
fail,verb,A2,Must we fail this important test?,92
posture,verb,C2,She tends to posture being an expert.,170
tricky,adjective,B2,That might be a tricky situation to solve without more information.,177
orchestra,noun,B1,The boy was in the orchestra.,137
convenient,adjective,A2,This time is not convenient.,85
broaden,verb,B2,He will be allowed to broaden his horizons through this new opportunity.,142
well,adjective,A1,"You are feeling well, aren't you?",65
relation,noun,B1,The close relation between their families meant they often spent holidays together.,126
antiquated,adjective,C1,I feel like my approach to learning is somewhat antiquated.,68
follower,noun,B2,"My new account wasn't popular, it gained no follower.",157
twelve,number,A1,Let's not be late for twelve o'clock.,48
omelet/omelette,noun,A2,"In case you're hungry, I can make you an omelette.",104
army,noun,B1,Who was in the army?,137
tabloid,adjective,B2,The celebrity seemed to agree to the tabloid journalist's persistent questions.,167
angularity,noun,C2,She managed to avoid the angularity of his gaze.,169
fifteen,number,A1,Who has fifteen books?,63
martial art,noun,B2,My brother is often praised for his skill in martial art.,144
tour,verb,B1,"Last summer, they toured the entire country.",125
design,verb,B1,We designed our new garden last spring.,123
any,determiner,A1,Do you have any brothers?,56
condition,noun,A2,What kind of car can you buy? A car in good condition.,87
hearty,adjective,B1,The hikers ate a hearty meal after their long walk.,117
confection,noun,C2,That beautiful confection must have taken hours to make.,177
construction,noun,B1,The company supervised the construction.,136
sack,verb,B2,He wasn't allowed to sack the company's valuable resources.,142
vicious,adjective,C1,"If he hadn't provoked the dog, it wouldn't have turned on him with such vicious intent.",176
discard,verb,C1,Is the chef discarding the spoiled ingredients right now?,74
compliance,noun,C1,We can ensure strict compliance with the new regulations.,84
proposal,noun,B1,We need to think over the new proposal before we accept it.,180
contest,noun,A1,How many people join the contest?,56
treasure,noun,A2,"We will find the hidden treasure, won't we?",83
cite,verb,C1,Where should we cite the source of this information?,159
mall,noun,A2,We must go to the mall.,90
induction,noun,C1,The immediate aftermath of his induction felt surprisingly anticlimactic.,121
classical,adjective,B1,It's wonderful to listen to classical music.,182
collapse,noun,B1,"After the long walk, the old building had a complete collapse.",180
uncanny,adjective,C2,He had an uncanny resemblance to his father.,181
brainwash,verb,C1,"You can't possibly think they managed to brainwash him that easily, can you?",89
contraption,noun,C2,What is that strange contraption you've built?,163
present,verb,B2,Your work will be present at the exhibition next month.,146
northward,adverb,B2,The flock of birds was seen flying northward yesterday.,145
unconvincingly,adverb,C1,"He presented a vast collection of stamps, which he unconvincingly claimed represented every nation on Earth.",42
squint,verb,C2,The sun was so bright that the children had to squint.,145
library,noun,A1,Are there any books in the library?,41
exchange,verb,B1,We exchanged gifts last Christmas.,115
carriage,noun,B1,She woke to the sound of the carriage rattling outside.,128
celebrity,noun,B1,What kind of parties did you go to when you were a young artist? - I went to parties with a famous celebrity.,135
patchy,adjective,C2,The old photograph had a patchy look from the years of being in sunlight.,150
majority,noun,B1,The majority of students brought their own snacks.,124
splash,noun,B2,The kids love a good splash in the garden hose.,159
frolic,verb,C2,Did the puppies frolic in the park this morning?,172
obvious,adjective,B1,It was obvious that he had forgotten where he put his keys.,118
degrading,adjective,C1,I may not participate in such a degrading activity.,97
much,adverb,A1,I don't eat much.,49
dignity,noun,B2,She had spoken with great dignity throughout the difficult situation.,154
shipwreck,noun,B2,They hope to be able to recover valuable artifacts from the shipwreck.,141
blitz,verb,C2,The local team was blitzed by their opponents in the first half.,144
vivid,adjective,B1,She described her dream with vivid details.,115
convention,noun,B2,We will be able to understand the artist's convention once we have more context.,141
ludicrously,adverb,C1,How much noise were they making? They were making ludicrously loud noise.,34
mailbox,noun,B1,Did you check the mailbox this morning?,133
scientist,noun,A1,One scientist - many scientists,28
extraordinarily,adverb,B2,"They have been extraordinarily helpful with this project, haven't they?",165
metal,noun,A2,You are carrying a lot of metal.,72
leather,noun,A2,He is wearing a leather jacket.,71
possibly,adverb,A2,"What will we eat for dinner, possibly pizza?",81
eke out,verb,C2,Some people eke out a living by selling handmade crafts.,171
enthusiastic,adjective,B1,They seemed enthusiastic about the new plan.,127
neighbor/neighbour,noun,A1,Who is my neighbour?,9
painstakingly,adverb,C2,She has painstakingly agreed to finish the project by next week.,167
adjective,noun,A2,"When I write a story, I always look for the best adjective.",103
short,adverb,A1,He has got short hair.,14
engineer,verb,C1,They managed to engineer much progress on the project despite limited resources.,34
equality,noun,B1,They didn't achieve true equality in the past.,132
force,verb,B2,Some people were forced to leave their homes.,171
discussion,noun,A2,What must we have before the meeting? A short discussion.,93
silver,noun,A2,The old coin was pure silver.,112
fluid,adjective,B2,The design of the interface has been made more fluid.,166
last,pronoun,A2,What must I eat last?,93
provided,conjunction,B1,"He wasn't the person they described, provided he was telling the truth.",134
employ,verb,B2,The company will employ new strategies.,148
takeoff/take-off,noun,B1,The runway was ready for the takeoff.,137
pollution,noun,A1,There is pollution in the river.,35
happenstance,noun,C2,What a strange happenstance that we both ended up at the same small café.,163
artifact,noun,C2,This ancient artifact was dug up by archaeologists.,155
surreptitious,adjective,C2,The manager's actions were often perceived as surreptitious.,166
yawn,noun,B2,"After a long day, the sudden yawn brought a sense of relief.",149
stroke,verb,B2,The ancient carving can be carefully stroked to reveal its texture.,147
consist,verb,A2,These two houses consist of four bedrooms each.,109
blonde,adjective,A2,She will probably meet the new blonde teacher.,78
staccato,adverb,C1,He hasn't got a response that isn't staccato.,11
perception,noun,B2,I wish my perception of the situation had been more accurate.,179
vis-a-vis,preposition,C2,"Having spoken vis-a-vis the issue, I have broken my silence.",154
flawless,adjective,B2,The singer was granted permission to perform a flawless rendition of the song.,142
flicker,noun,C1,It's a faint flicker.,2
critically,adverb,B2,"You've thought critically about this issue before, haven't you?",165
exclusion,noun,B2,The policy's perceived unfairness led to the exclusion of several community members.,153
fire,verb,B2,The hunters fired their rifles at the signal.,152
shot,noun,A2,That final shot was the highest of the game.,109
decomposition,noun,B2,The scientist continues studying the slow decomposition of the ancient wood.,170
various,adjective,B1,"Yesterday, I sang various songs at the party.",124
pineapple,noun,B1,The pineapple fell from the table.,117
harrow,noun,B2,The farmer dragged a heavy harrow across the freshly plowed field.,155
transfer,verb,B1,Who was able to transfer the files?,137
owing to,preposition,B2,The package was delayed owing to a sudden increase in demand.,145
adornment,noun,C2,This dress had no special adornment.,157
son,noun,A1,Let's not wake our son.,48
repeat,verb,A1,"Fifty two times, you repeat the word.",26
hello,noun,A1,There isn't a hello in the letter.,37
good afternoon,interjection,A1,"He hasn't got, good afternoon, any time.",15
freshman,noun,B1,The professor explained that every freshman had to buy the textbook.,174
bold,noun,B2,She decided to show some bold.,168
rob,verb,A2,They won't rob the bank tomorrow.,79
palatable,adjective,C2,"If the food were less spicy, it would be more palatable to everyone.",139
vitamin,noun,B2,I wish I had taken that vitamin supplement sooner.,179
post,noun,A1,There is a post in the ground.,36
symptom,noun,B1,"The doctor asked, ""Who noticed the first symptom of the illness?",136
subculture,noun,B2,I wish I had understood the nuances of that music subculture better when I was younger.,179
eccentrically,adverb,C1,"She always dresses eccentrically, doesn't she?",165
they,pronoun,A1,"One dog barked, but they all ran.",28
sleepless,adjective,A2,We are having a sleepless night because of the storm.,72
key,noun,A1,Whose house key do you have?,55
upbringing,noun,B2,His strict upbringing must have influenced his disciplined behavior.,177
dismal,adjective,C1,"Despite the dismal weather, we had the garden furniture cleaned and put away.",181
filial,adjective,B2,He showed no filial respect towards his elders.,173
tourism,noun,B1,"Last year, local tourism greatly improved our town's economy.",125
explosive,adjective,B2,a highly explosive mixture,143
blend,noun,B2,You'll be allowed to try this new flavor blend.,142
separately,adverb,B2,"What do you usually do after finishing your work, and do you manage your personal tasks separately?",163
expedite,verb,C1,The new software is designed to expedite processing your applications.,169
incongruity,noun,C2,The incongruity of his polite words and his aggressive actions was striking.,151
uncommon,adjective,B2,She seems to possess an uncommon ability to solve complex problems.,167
viciously,adverb,C1,The cornered wolf viciously attacked the intruder.,117
respectable,adjective,B1,He carried a respectable amount of money in his wallet.,114
best,adjective,A1,Is it the best apple?,4
dedication,noun,B2,Have you shown great dedication to your studies this semester?,162
closure,noun,B2,I wish I had found some closure after that difficult situation.,179
virus,noun,B1,What kind of computer virus did you find on your old laptop?,135
executive,adjective,B2,The new manager will have to attend an executive meeting.,140
roof,noun,A2,It isn't raining on the roof now.,73
glint,verb,C2,His eyes have just been glinted by the sun.,166
career,noun,B1,She started her acting career last year.,125
unwell,adjective,B1,"He was feeling unwell last night, wasn't he?",138
smoothly,adverb,A2,"We must finish the report smoothly, mustn't we?",95
reference,noun,B2,"The author provided a handy reference for verb forms, such as 'to show,' 'showed,' and 'shown.'",155
maneuver/manoeuvre,verb,C1,They haven't got the experience to maneuver the difficult situation.,11
tomorrow,noun,A1,Tomorrow is a new day.,35
moonscape,noun,B2,"The vast, desolate surface of the planet was described by the astronauts as a stark moonscape.",156
hug,verb,A2,I'm not hugging you right now.,73
sentence,verb,B2,The judge angrily sentenced the guilty man to prison.,152
royal,adjective,A2,The guard may not enter the royal chambers.,97
coupled,adjective,C1,"This new security system, coupled with improved lighting, should deter further incidents, shouldn't it?",65
category,noun,B1,That book belonged to a different category last year.,123
meteorological,adjective,C2,The team aims to implement new meteorological monitoring systems.,167
artifice,noun,C2,She has never encountered such obvious artifice in a performance.,161
haggle,verb,C1,What did you do at the bazaar? - I had to haggle for a reasonable price on that rug.,163
bubble,noun,B1,Who was in the bubble?,137
fabulate,verb,C2,The child fabulated a wonderful story.,154
monastic,adjective,C2,The monastery's atmosphere can be described as almost monastic.,147
conditionally,adverb,C1,Where might you go conditionally on the weather improving?,52
edit,verb,B2,"If she had more time, she would edit the entire manuscript herself.",139
buddy,noun,B1,My old buddy helped me move last weekend.,115
pandemic,adjective,B2,Have you heard about the new pandemic-related travel restrictions?,162
irritating,adjective,B2,The constant loud music from the apartment upstairs will be very irritating.,146
stun,verb,B1,The loud noise stunned everyone in the room.,127
scatter,verb,B1,The children scattered their toys across the floor after playing.,125
gaiety,noun,B2,The recovered village square was filled with an air of revived gaiety.,143
century,noun,A2,"This building is from the last century, isn't it?",89
counsel,noun,C2,Have you received any counsel from your teacher?,162
eastern,adjective,B1,"The new shop opened on the eastern side of town, didn't it?",138
aimlessly,adverb,C1,He's got a collection of old postcards that he flips through aimlessly.,14
fun,adjective,A1,"This is a fun party, isn't it?",65
lyric,adjective,A2,Her latest song has a more lyric quality than her previous ones.,109
past,adverb,A1,What does the runner do? - He runs past the finish line.,60
low,adjective,A2,"When the battery is low, I will charge my phone.",103
underneath,preposition,B1,I put the book underneath the table.,180
director,noun,A2,The new film director is more creative than the old one.,109
dwarfism,noun,C2,How is dwarfism diagnosed?,159
warrior,noun,B1,He was a brave warrior in ancient times.,123
jeopardize/jeopardise,verb,B2,Her careless comments could jeopardize the entire negotiation.,164
no,determiner,A1,No smoking people are here.,69
deal,noun,A2,I'm making a deal with my brother now.,70
posterity,noun,C2,We intend to create a legacy for posterity.,168
mutual,adjective,B1,We had a mutual understanding about the project.,123
bruise,noun,B2,That dark bruise on my arm wasn't caused by me.,157
update,noun,B2,Have you received the latest update on the project?,162
terrible,adjective,A1,Who is it? - It's a terrible noise.,9
least,pronoun,B2,"If everyone else had brought their own snacks, I would have brought the least.",139
helmet,noun,B1,She wore a helmet for protection.,115
belligerent,adjective,C2,The politician showed no belligerent behavior during the debate.,173
board,noun,A1,I haven't got a board.,11
magpie,noun,C2,A shiny coin was taken by the magpie.,144
proposed,adjective,B2,The proposed solution offered a clear path forward.,152
society,noun,A2,What must we protect in our society?,93
harm,noun,B2,Was any significant harm done during the protest?,158
talk,noun,B1,That wasn't the kind of talk I wanted to hear.,134
grandchild,noun,A2,Who will visit Grandma next year? My grandchild.,82
lettuce,noun,B1,I was the one who bought the lettuce at the market.,123
your,determiner,A1,Your dog doesn't eat meat.,58
promise,verb,B1,She promised that she would help me with my homework.,174
euphemistically,adverb,C2,"The old shed was euphemistically described as a ""storage unit"" before it was dismantled.",147
privileged,adjective,C1,Having had the opportunity to witness such a profound cultural event made me feel exceptionally privileged.,152
detective,noun,B1,What did the detective find in the old house?,135
mum,noun,A1,What kind of flower is mum?,23
inform,verb,B1,He informed me that he had forgotten his keys.,174
labor/labour,noun,A2,"The construction labor will be finished next week, won't it?",83
legislature,noun,B2,The committee decided against delaying the legislature's vote on the new bill.,169
tongue,noun,B1,She tasted the soup with her tongue.,119
worthwhile,adjective,B1,Who was the most worthwhile student?,137
ignorant,adjective,B2,He was ignorant of the changes until the last moment.,141
dark,adjective,A1,a box of dark chocolates,42
preferable,adjective,B2,She finds staying home preferable to going out on rainy days.,170
muscle,noun,B1,I should work out to build more muscle.,180
screw,noun,A2,I'm looking for a screw for the shelf.,70
unlike,adjective,A2,This task is unlike any other I must do.,90
contain,verb,B1,The old box used to contain many interesting toys.,178
daft,adjective,B2,That daft suggestion was quickly dismissed by the committee.,156
run,verb,A1,There is a little milk to run.,33
debit,verb,B2,The bank will debit your account for the monthly service fee.,152
open,verb,A1,What do you open in the morning?,51
mobile phone,noun,A1,Whose mobile phone does she use?,62
fume,noun,B2,The acrid fume hung heavy in the air.,154
dribble,noun,C2,The tiny **dribble** of water was barely noticeable.,151
feast,noun,B1,We had a wonderful feast at my grandparents' house last Christmas.,123
impress,verb,A2,"When the chef cooks dinner, he will impress everyone.",103
humiliate,verb,B2,I wish I hadn't done anything to humiliate my friend during the presentation.,179
lot,noun,A2,"If you finish this lot, you can have a break.",102
nationwide,adverb,B2,The company's new advertising campaign was bought nationwide.,149
toss,verb,B1,Did you toss the coin before the game started?,133
endure,verb,B1,She had to endure the long journey.,136
purchase,noun,B2,My friend made the online purchase.,164
pepper,noun,A2,She added pepper sparingly to her soup.,111
goalkeeper,noun,B1,What was the goalkeeper's name on the team last season?,135
rusty,adjective,B2,The old bicycle's gears had become rusty after years of disuse.,151
supposedly,adverb,B1,The train supposedly arrived on time this morning.,117
provision,noun,B2,"We have made adequate provision for our guests, haven't we?",165
sandwich,noun,A1,"You like a cheese sandwich, don't you?",65
pillow,noun,B1,She hugged the pillow tightly.,127
edification,noun,C2,I wish the lecture had been more for my edification.,179
owe,verb,B1,I owe you an apology.,136
examiner,noun,B1,The examiner who marked my test was very strict.,175
clone,verb,A2,Can you clone the document for me?,86
funeral,noun,B1,We all felt sad at the funeral.,126
access,verb,B2,She accessed the archived files with a special key.,149
landscape,verb,C1,The artist landscaped the garden beautifully last spring.,117
economize/economise,verb,C2,We should economize on electricity by turning off lights.,169
piracy,noun,B2,The music industry faces challenges due to widespread piracy.,156
raunchily,adverb,C1,She always sings raunchily when no one is around.,45
hospitalize/hospitalise,verb,B2,Have you ever had to be hospitalized?,162
unconscious,adjective,B2,Was the danger during the storm unconsciously ignored?,158
victoriously,adverb,C1,Only the underdog may stride victoriously.,100
mass,noun,B2,"We haven't experienced such a massive crowd before, have we?",165
scan,noun,B1,We used to get a quick scan of the newspaper headlines each morning.,178
materialize/materialise,verb,C2,I haven't seen my dream job materialize yet.,161
rim,noun,B2,Have you ever seen the moon's full rim through a telescope?,162
benevolence,noun,B2,His acts of benevolence were felt throughout the community.,150
ingenuously,adverb,C2,She ingenuously agreed to share her last cookie.,167
madame,noun,B2,This gift was intended for the distinguished madame.,156
culmination,noun,B2,"After months of intense work, the successful product launch was the culmination of their efforts.",152
magnate,noun,C2,The struggling company was eventually bought by a wealthy business magnate.,145
blurt,noun,B2,The surprise confession came out as a sudden blurt from her.,159
car,noun,A1,What colour is the car?,22
iron,noun,B1,She polished the old iron last week.,119
inherently,adverb,C1,The complex nature of the problem makes it inherently impossible to solve with the current limited resources.,85
de facto,adjective,B2,"The committee, though not officially appointed, was the de facto decision-maker for the project.",151
ferocity,noun,C2,They admitted the ferocity of the storm's impact.,169
wares,noun,C1,"The travelling merchant displayed his colourful wares at the market yesterday, and today he's packing them up.",125
plausible,adjective,C1,She can construct a plausible argument for why the project is feasible.,84
doc,noun,B1,What kind of doc did you get from the doctor about your leg?,135
verisimilitude,noun,C2,"If the movie had more verisimilitude, I would believe the story.",139
proliferate,verb,C1,Will these new social media platforms continue to proliferate at this rate?,80
brand-new,adjective,B1,My friend said that she bought a brand-new car.,174
crippling,adjective,C2,The crippling blow he felt after the accident changed his life forever.,150
handkerchief,noun,B1,She gave him a clean handkerchief.,119
escalator,noun,A2,Where can we find the escalator?,87
drown,verb,B1,It's terrible to drown in debt.,182
intentionally,adverb,B1,He would intentionally leave his keys by the door so he wouldn't forget them.,178
transport,verb,B2,The goods have been transported safely.,166
observe,verb,B1,I didn't observe any changes in his behaviour.,132
ad-lib,verb,C2,What have you done? - I had to ad-lib a lot during the presentation.,163
acceptable,adjective,A2,This behavior is not acceptable.,94
substance,noun,B2,There was no substance to his claims.,173
constantly,adverb,B1,She was constantly moving to new cities.,122
hearted,adjective,B1,She always acted kind-hearted.,129
clever,adjective,A1,What colour is the clever fox?,22
remind,verb,A2,Is this song reminding you of your holiday?,74
last,verb,B1,Our team’s winning streak last for ten games.,123
keystroke,noun,B2,"If the document hadn't been corrupted, a single keystroke would have saved all my work.",139
comment,noun,B1,My teacher made a positive comment on my essay.,116
defense/defence,noun,B1,The knight spoke of his strong defense.,128
feedback,noun,B2,There was no constructive feedback from the participants after the presentation.,173
because of,preposition,B1,She sang beautifully because of her excellent vocal training.,124
independently,adverb,B2,"The artist painted the mural independently, having brought her own supplies.",149
never,adverb,A1,"Does he ever go to the park? - No, he never does.",59
squash,noun,B2,She found a tiny green squash under the leafy plants.,150
lay,verb,B1,She lay on the beach yesterday.,122
articulation,noun,C2,What is the best articulation of that idea?,163
preeminent,adjective,C2,What is his reputation in the field? He is the preeminent scholar on ancient history.,163
strike,noun,A2,We are about to strike a deal.,72
chin,noun,A2,He was the second boy to have his chin touched.,113
stadium,noun,A2,I am watching a football match in the stadium.,70
fabulous,adjective,B2,I wish I had worn that fabulous dress to the party last night.,179
outside,adjective,B2,The work was all done by outside contractors.,145
