lang,level,topic_en,question
French,B2,your daily routine,Qu'est-ce que vous faites le plus souvent pour vous détendre après le travail ?
French,B2,a game you enjoy playing,Quel est le jeu auquel vous aimez jouer pendant votre temps libre ?
French,B2,a skill you'd like to learn,Quelle compétence aimeriez-vous acquérir et pourquoi ?
French,B2,what you usually do after work or school,Qu'avez-vous l'habitude de faire après votre journée de travail ou d'études ?
French,B2,how are you today,Comment vous sentez-vous en ce jour ?
French,B2,your favorite type of music to relax to,Quelle est votre musique préférée pour vous détendre ?
French,B2,your best friend,Qu'est-ce que tu aimes le plus chez ton meilleur ami ?
French,B2,your favorite time of year,Quel est votre moment préféré de l'année et pourquoi ?
French,B2,your family,Parlez-moi de votre plus beau souvenir familial.
French,B2,how you get around your city,Comment préférez-vous vous déplacer dans votre ville et pourquoi ?
French,C1,your favorite app or website,Quelle est votre application ou site web de prédilection pour découvrir de nouvelles recettes de cuisine française ?
French,C1,what you had for breakfast,Qu'avez-vous dégusté pour votre petit-déjeuner ce matin ?
French,C1,something that made you happy recently,Qu'est-ce qui vous a récemment procuré un réel sentiment de joie ?
French,C1,how you'd describe your ideal weekend to a friend,Comment décrirais-tu à un ami le week-end parfait ?
French,C1,your favorite season and why,Quelle est votre saison préférée et pourquoi l'aimez-vous tant ?
French,C1,your favorite place to eat,Pourriez-vous décrire le plat que vous avez préféré déguster lors de votre dernière visite dans votre établissement de restauration favori ?
French,C1,your favorite food,"Quel plat français, selon vous, incarne le mieux la quintessence de la cuisine française et pourquoi ?"
French,C1,your favorite way to relax,Quelle est votre façon préférée de décompresser après une longue journée ?
French,C1,your neighborhood,Pouvez-vous décrire les aspects positifs et négatifs de vivre dans votre quartier actuel ?
French,C1,"what makes a good leader, in your opinion","Selon vous, qu'est-ce qui caractérise un leader véritablement inspirant ?"
French,C1,a movie or show you watched recently,Quel film récent vous a particulièrement marqué par son message profond et sa mise en scène novatrice ?
French,C1,what is the weather like,Comment le temps se présente-t-il aujourd'hui ?
French,C2,your favorite music,"Quelle musique, au-delà des genres convenus, vous transporte-t-elle invariablement vers un état d'émotion pure ?"
French,C2,how are you today,Comment vous sentez-vous aujourd'hui?
French,C2,your favorite way to relax,Quelle est votre manière préférée de vous évader du stress quotidien pour vous ressourcer ?
French,C2,your daily routine,Pourriez-vous me décrire en détail la démarche que vous suivez pour vous organiser et accomplir toutes vos tâches quotidiennes afin d'optimiser votre productivité ?
French,C2,a piece of advice someone gave you that stuck,Quelleは conseil vous a le plus marqué dans votre vie ?
French,C2,your typical breakfast,"Au petit-déjeuner, préférez-vous le salé ou le sucré, et quel aliment incarne le mieux votre choix ?"
French,C2,something you used to believe but don't anymore,Est-ce qu'il y a une idée reçue que vous aviez fermement ancrée et qui s'est révélée totalement fausse avec le temps ?
French,C2,the last gift you gave someone,Quel était le cadeau le plus réfléchi que vous ayez offert à quelqu'un récemment et pourquoi ?
French,C2,your favorite app or website,Pourriez-vous me décrire votre expérience la plus marquante avec [nom de l'application/site web] ?
French,C2,the room you are in right now,"Dans cette pièce, quel objet trouvez-vous le plus intriguant et pourquoi ?"
French,C2,your hobbies,Qu'est-ce que vous trouvez le plus exaltant dans la pratique de votre passe-temps favori ?
French,C2,how you spent last weekend,"Pourriez-vous me relater, sans omettre les moindres détails, comment vous avez agrémenté votre week-end dernier ?"
German,A1,your favorite holiday,Was ist dein Lieblingsfeiertag?
German,A1,how you get around your city,Wie kommen Sie in Ihrer Stadt von A nach B?
German,A1,your job or studies,Was machen Sie beruflich?
German,A1,what is the weather like,Wie ist das Wetter heute?
German,A1,your plans for the weekend,Was machst du am Wochenende?
German,A1,your typical breakfast,Was isst du normalerweise zum Frühstück?
German,A1,your favorite type of music to relax to,Was hörst du gerne zum Entspannen?
German,A1,a game you enjoy playing,Spielst du gern Schach?
German,A1,how many people are in your family,Wie viele Personen sind in deiner Familie?
German,A1,a language you'd like to speak,Welche Sprache möchten Sie sprechen?
German,A1,your favorite music,Was hörst du gern?
German,A1,what are your plans for today,Was hast du heute vor?
German,A2,your plans for the weekend,Was machst du am Wochenende?
German,A2,your favorite way to relax,Wie entspannst du dich am liebsten?
German,A2,your favorite app or website,"Welche Webseite besuchst du am liebsten, wenn du etwas Neues lernen möchtest?"
German,A2,your favorite sport,Welchen Sport treiben Sie am liebsten?
German,A2,your daily routine,Was machst du jeden Morgen nach dem Aufstehen?
German,A2,what are your plans for today,Was hast du heute vor?
German,A2,the last gift you gave someone,"Was war das letzte Geschenk, das du jemandem gegeben hast?"
German,A2,your neighborhood,Was gibt es Interessantes in deiner Nachbarschaft?
German,A2,how many people are in your family,Wie viele Personen sind in deiner Familie?
German,A2,your favorite music,Welche Musik hörst du am liebsten?
German,A2,your job or studies,Was studierst du?
German,A2,a recent trip or a place you'd like to visit,Wohin möchten Sie gerne im Urlaub fahren?
German,B1,how are you today,Wie geht es dir heute?
German,B1,your favorite sport,Was ist dein Lieblingssport?
German,B1,a recent trip or a place you'd like to visit,Welches Land möchten Sie als Nächstes gerne besuchen und warum?
German,B1,what you had for breakfast,Was hast du heute Morgen zum Frühstück gegessen?
German,B1,a challenge you overcame recently,Welche Herausforderung hast du kürzlich erfolgreich gemeistert?
German,B1,what you would do with an unexpected day off,Was würdest du mit einem unerwarteten freien Tag machen?
German,B1,how you spent last weekend,Wie hast du dein letztes Wochenende verbracht?
German,B1,something that made you happy recently,Was hat dich letzte Woche so richtig glücklich gemacht?
German,B1,your favorite app or website,"Welche App nutzt du am liebsten, um neue Rezepte zu finden?"
German,B1,something you'd like to change about your daily routine,Was würden Sie gerne an Ihrem täglichen Ablauf ändern?
German,B1,your favorite type of music to relax to,"Welche Musik hörst du am liebsten, um dich zu entspannen?"
German,B1,what you usually do after work or school,Was machst du normalerweise nach der Arbeit oder Schule?
German,B2,your favorite way to relax,Wie entspannst du dich am liebsten nach einem anstrengenden Tag?
German,B2,your favorite holiday,Welches ist Ihr Lieblingsurlaub und warum?
German,B2,a book you like,Welches Buch hat Sie in letzter Zeit am meisten beeindruckt und warum?
German,B2,your favorite season and why,Welche Jahreszeit mögen Sie am liebsten und warum?
German,B2,your job or studies,Erzählen Sie mir von Ihrer Ausbildung zum Deutschlehrer.
German,B2,what did you do yesterday,Was hast du gestern gemacht?
German,B2,your family,Erzähl mir etwas über die Hobbys deiner Geschwister.
German,B2,your favorite app or website,"Welche App oder Webseite nutzen Sie am liebsten, um neue Rezepte zu finden?"
German,B2,how technology has changed the way you learn,Wie hat Technologie Ihre Lernmethoden verändert?
German,B2,a tradition from your country you'd explain to a foreigner,Welche Tradition Ihres Landes würden Sie einem Ausländer am liebsten erklären?
German,B2,your hobbies,"Welche Hobbys machen dir am meisten Spaß, wenn du Zeit zum Entspannen hast?"
German,B2,how you get around your city,Wie kommen Sie normalerweise durch Ihre Stadt?
German,C1,a movie or show you watched recently,"Können Sie Ihre Gedanken zu den komplexen moralischen Dilemmata, die im Film aufgeworfen wurden, teilen?"
German,C1,what you would do if you had more free time,"Wenn Sie mehr Freizeit hätten, womit würden Sie Ihre Tage am liebsten füllen?"
German,C1,the room you are in right now,"Beschreiben Sie kurz den augenblicklichen Gesamteindruck des Raumes, in dem Sie sich gerade befinden?"
German,C1,your job or studies,Welche Aspekte Ihres Berufs als Deutschlehrer finden Sie besonders bereichernd?
German,C1,a decision you're proud of,Auf welche weitreichende Entscheidung in Ihrem Leben blicken Sie mit besonderem Stolz zurück?
German,C1,what you had for breakfast,Was gab es heute Morgen auf Ihrem Teller zum Frühstück?
German,C1,something you'd like to change about your daily routine,"Was würden Sie gerne an Ihrer täglichen Routine ändern, um mehr Zeit für Hobbys zu haben?"
German,C1,your favorite way to relax,Welche Aktivität entspannt Sie persönlich am besten nach einem anstrengenden Tag?
German,C1,your favorite season and why,Welche Jahreszeit ist Ihre liebste und aus welchem Grund?
German,C1,your favorite food,"Was ist Ihr absolutes Lieblingsgericht, und warum ist es so besonders für Sie?"
German,C1,a challenge you overcame recently,Welche unerwartete Schwierigkeit hast du neulich erfolgreich gemeistert?
German,C1,your favorite holiday,Was ist Ihre liebste Feiertagsaktivität und warum?
German,C2,your favorite app or website,"Was fasziniert dich an dieser einen App oder Website so sehr, dass du sie immer wieder besuchst?"
German,C2,your favorite season and why,Welche Jahreszeit bevorzugen Sie und aus welchen tiefgründigen Gründen nennen Sie gerade diese als Ihre liebste?
German,C2,a decision you're proud of,"Was war Ihre bedeutendste Entscheidung, auf die Sie mit tiefem Stolz zurückblicken?"
German,C2,your best friend,"Was ist die tiefgründigste gemeinsame Erfahrung, die Sie und Ihr bester Freund verbindet?"
German,C2,what you had for breakfast,Was gab es heute zum Frühstück?
German,C2,what are your plans for today,Was steht denn heute noch an?
German,C2,how technology has changed the way you learn,Wie hat die fortschreitende Digitalisierung Ihre persönlichen Lernstrategien auf einem fortgeschrittenen Niveau nachhaltig transformiert?
German,C2,your favorite time of year,Was macht den Herbst für Sie zu Ihrer liebsten Jahreszeit?
German,C2,the biggest difference between your hometown and a big city,Worin besteht Ihrer Meinung nach der grundlegendste Unterschied zwischen Ihrer Heimatstadt und einer Großstadt?
German,C2,your daily routine,"Könnten Sie detailliert beschreiben, wie Ihr typischer Arbeitstag abläuft und welche spezifischen Aufgaben Sie dabei bewältigen?"
German,C2,how your city has changed over the years,"Welche prägnanten Transformationen hat Ihre Stadt im Laufe der Jahrzehnte Ihrer Ansicht nach durchlaufen, die ihre heutige Identität maßgeblich geformt haben?"
German,C2,a pet you have or would like to have,"Wenn Sie die Möglichkeit hätten, sich ein exotisches Haustier anzuschaffen, welches wäre das und warum?"
Japanese,A1,a language you'd like to speak,どんな言葉を話したいですか？
Japanese,A1,the room you are in right now,これは部屋ですか。
Japanese,A1,what you had for breakfast,朝ごはん、何を食べましたか？
Japanese,A1,how you spent last weekend,先週末、何をしましたか。
Japanese,A1,your job or studies,先生は　なにか　べんきょうしていますか。
Japanese,A1,your favorite app or website,あなたの好きなアプリは何ですか？
Japanese,A1,your morning routine,毎朝、何をしますか。
Japanese,A1,your favorite way to relax,リラックスするために、何をしますか？
Japanese,A1,a skill you'd like to learn,どんなことを習いたいですか。
Japanese,A1,your typical breakfast,毎朝、何を eat しますか。
Japanese,A1,your neighborhood,あなたの町に公園がありますか。
Japanese,A1,your favorite place to eat,一番好きな食べ物屋さんはどこですか？
Japanese,A2,the last gift you gave someone,この前、誰かにあげたプレゼントは何ですか？
Japanese,A2,your favorite time of year,あなたの好きな季節はいつですか？
Japanese,A2,a game you enjoy playing,どんなゲームが好きですか？
Japanese,A2,your favorite season and why,あなたの好きな季節はいつで、なぜですか。
Japanese,A2,your morning routine,毎朝、何をしますか？
Japanese,A2,describe something you can see around you,あなたの部屋には何が見えますか。
Japanese,A2,your favorite way to relax,リラックスするために、どんなことをするのが一番好きですか。
Japanese,A2,something that made you happy recently,最近、嬉しかったことは何ですか？
Japanese,A2,your favorite food,あなたの好きな食べ物は何ですか？
Japanese,A2,your daily routine,毎朝、何時に起きますか？
Japanese,A2,your plans for the weekend,週末は何をしますか。
Japanese,A2,your neighborhood,あなたの近所にどんな店がありますか。
Japanese,B1,something that made you happy recently,最近、嬉しかったことは何ですか。
Japanese,B1,a challenge you overcame recently,最近、どんな困難を乗り越えましたか？
Japanese,B1,a pet you have or would like to have,どんなペットを飼いたいですか。
Japanese,B1,what you would do if you had more free time,もし自由な時間がもっとあったら、何をしたいですか？
Japanese,B1,your favorite way to relax,リラックスするために、一番好きなことは何ですか？
Japanese,B1,what you had for breakfast,朝ごはんには何を 食べましたか。
Japanese,B1,what you would do with an unexpected day off,もし予期せずお休みになったら、何をしたいですか？
Japanese,B1,how you get around your city,街ではどのように移動しますか。
Japanese,B1,what your life might look like in five years,5年後、どんな生活をしていると思いますか？
Japanese,B1,your favorite app or website,あなたの好きなアプリやウェブサイトは何ですか？
Japanese,B1,your neighborhood,近所にどんなお店がありますか。
Japanese,B1,the last gift you gave someone,あなたが最後に誰かにあげたプレゼントは何でしたか？
Japanese,B2,your daily routine,毎朝、何時に起きますか？
Japanese,B2,the last gift you gave someone,あなたが最後に誰かにあげたプレゼントは何ですか。
Japanese,B2,what did you do yesterday,昨日、何をしましたか。
Japanese,B2,your favorite food,あなたの好きな食べ物は何ですか。
Japanese,B2,a skill you'd like to learn,将来、どんなスキルを身につけたいですか。
Japanese,B2,your favorite music,あなたの好きな音楽のジャンルは何ですか？
Japanese,B2,your morning routine,毎朝、何時ごろに起きますか。
Japanese,B2,what you usually do after work or school,仕事や学校が終わった後、普段は何をしていますか？
Japanese,B2,the biggest difference between your hometown and a big city,あなたの故郷と大都市の最大の違いは何ですか？
Japanese,B2,describe something you can see around you,あなたの周りには、どのようなものが目に入りますか。
Japanese,B2,your plans for the weekend,今週末、何をしますか。
Japanese,B2,your favorite holiday,あなたの好きな祝日は何ですか？
Japanese,C1,what you would do with an unexpected day off,もし急に一日休みになったら、何をしたいですか？
Japanese,C1,what are your plans for today,今日の予定はどのようなものがありますか。
Japanese,C1,a game you enjoy playing,最近ハマっているゲームは、プレイヤーの選択が物語の結末を大きく左右するRPGなのですが、あなたはどのような点に一番魅力を感じますか？
Japanese,C1,a decision you're proud of,人生で最も誇りに思っている決断は何ですか？
Japanese,C1,your favorite season and why,あなたが一番好きな季節はいつですか、そしてそれはなぜですか。
Japanese,C1,how you get around your city,お住まいの都市では、どのような交通手段で移動することが多いですか？
Japanese,C1,a piece of advice someone gave you that stuck,誰かに言われた、心に残っているアドバイスは何ですか？
Japanese,C1,how you'd describe your ideal weekend to a friend,理想の週末について、友達にどのように話しますか？
Japanese,C1,what you would do if you had more free time,もし自由な時間が増えたら、何をしますか。
Japanese,C1,your hobbies,趣味で集めているものは、どんなものが一番高価ですか？
Japanese,C1,your job or studies,先生として、生徒たちの学習進捗をどのように評価していますか。
Japanese,C1,the biggest difference between your hometown and a big city,故郷と大都市の最も大きな違いは何だと思いますか。
Japanese,C2,how are you today,本日はいかがお過ごしでいらっしゃいますか。
Japanese,C2,your favorite way to relax,休日に一番リラックスできる過ごし方は何ですか？
Japanese,C2,your favorite type of music to relax to,リラックスする時、どんなジャンルの音楽を聴くのが一番お好きですか？
Japanese,C2,a challenge you overcame recently,最近、乗り越えた一番の困難は何でしたか？
Japanese,C2,your favorite place to eat,日本で一番好きな食べ物屋さんはどこですか？
Japanese,C2,what you had for breakfast,昨晩、冷蔵庫にあったもので簡単な朝食を済ませたのですが、具体的に何を食べたか覚えていらっしゃいますか。
Japanese,C2,a piece of advice someone gave you that stuck,誰かの助言で、ずっと心に残っていることは何ですか？
Japanese,C2,your morning routine,毎朝、起床してから家を出るまで、どのような習慣を欠かさず行っていますか？
Japanese,C2,describe something you can see around you,窓の外に見える景色を教えてください。
Japanese,C2,a game you enjoy playing,最近ハマっているゲームで、最も驚かされた展開はどのようなものでしたか？
Japanese,C2,your favorite sport,一番好きなスポーツについて、どのような点があなたを最も惹きつけるのか、具体的に教えていただけますか？
Japanese,C2,your daily routine,毎朝、起床してから家を出るまでの間で、特に時間をかけていることや、工夫していることはありますか。
Chinese,A1,your favorite type of music to relax to,你喜欢听什么音乐放松？
Chinese,A1,something that made you happy recently,最近有什么让你开心的事情吗？
Chinese,A1,what you had for breakfast,你早餐吃什么？
Chinese,A1,how are you today,你今天好吗？
Chinese,A1,your favorite place to eat,你最喜欢去哪里吃饭？
Chinese,A1,a game you enjoy playing,你喜欢玩什么游戏？
Chinese,A1,your favorite color and why,你最喜欢的颜色是什么，为什么？
Chinese,A1,your plans for the weekend,你周末有什么打算？
Chinese,A1,your favorite holiday,你最喜欢的节日是什么？
Chinese,A1,your favorite sport,你最喜欢的运动是什么？
Chinese,A1,a pet you have or would like to have,你有什么宠物？
Chinese,A1,your typical breakfast,你早上通常吃什么？
Chinese,A2,a skill you'd like to learn,你想学什么新技能？
Chinese,A2,what you had for breakfast,你早餐吃什么了？
Chinese,A2,your favorite music,你最喜欢听哪种音乐？
Chinese,A2,something that made you happy recently,最近有什么让你开心的事情吗？
Chinese,A2,your plans for the weekend,你周末打算做什么？
Chinese,A2,how you get around your city,你平时怎么出门？
Chinese,A2,your best friend,你最好的朋友叫什么名字？
Chinese,A2,your favorite way to spend a rainy day,下雨天你最喜欢做什么？
Chinese,A2,a movie or show you watched recently,你最近看了什么好看的电影？
Chinese,A2,a pet you have or would like to have,你最想养什么宠物？
Chinese,A2,your family,你家有几个人？
Chinese,A2,how you spent last weekend,你上周末做了什么？
Chinese,B1,what you usually do after work or school,你下班后通常会做什么？
Chinese,B1,what your life might look like in five years,五年后，你的生活会是什么样子？
Chinese,B1,your favorite app or website,你最喜欢的应用是什么？
Chinese,B1,a tradition from your country you'd explain to a foreigner,中国的春节，你们那里会庆祝吗？
Chinese,B1,"what makes a good leader, in your opinion",你认为一个好的领导者应该具备哪些最重要的品质？
Chinese,B1,what you would do with an unexpected day off,如果你今天突然放假，你会做什么？
Chinese,B1,a recent trip or a place you'd like to visit,你最近去过什么有趣的地方？
Chinese,B1,a game you enjoy playing,你喜欢玩什么电子游戏？
Chinese,B1,how you get around your city,你通常坐什么交通工具去上班？
Chinese,B1,something you'd like to change about your daily routine,你希望你的日常生活有什么改变？
Chinese,B1,a pet you have or would like to have,你最想养什么宠物？
Chinese,B1,your hobbies,你平时喜欢做什么？
Chinese,B2,your typical breakfast,你平常早餐吃什么？
Chinese,B2,a decision you're proud of,你曾经做过什么让你感到自豪的决定？
Chinese,B2,a skill you'd like to learn,你最近想学什么新技能？
Chinese,B2,your favorite place to eat,你最常去哪家餐厅吃饭？
Chinese,B2,a movie or show you watched recently,你最近看的那部电影里，让你印象最深刻的场景是什么？
Chinese,B2,your favorite sport,你最喜欢的运动是什么？
Chinese,B2,your favorite time of year,你最喜欢一年中的哪个季节？
Chinese,B2,a challenge you overcame recently,你最近克服了什么困难？
Chinese,B2,your favorite type of music to relax to,你最喜欢听什么类型的音乐来放松？
Chinese,B2,your favorite season and why,你最喜欢的季节是什么，为什么？
Chinese,B2,a pet you have or would like to have,你最想养什么宠物？
Chinese,B2,your best friend,你最好的朋友有什么特别的爱好吗？
Chinese,C1,your best friend,你最好的朋友最大的特点是什么？
Chinese,C1,a mistake you learned something from,你从哪次错误中吸取了最重要的教训？
Chinese,C1,a pet you have or would like to have,如果你能养一只从未见过的奇异宠物，你会选择什么？
Chinese,C1,describe something you can see around you,你现在能看到什么东西？
Chinese,C1,your hobbies,你最近有没有发展什么新的特别的爱好？
Chinese,C1,your favorite food,你最喜欢的家常菜是什么？
Chinese,C1,a language you'd like to speak,如果可以，你最想流利掌握哪门外语？
Chinese,C1,a decision you're proud of,您曾为自己做出的哪个决定感到特别自豪？
Chinese,C1,your family,请问您家里最让您感到骄傲的成员是谁，为什么？
Chinese,C1,the biggest difference between your hometown and a big city,你认为你的家乡与大城市最大的不同之处在于什么？
Chinese,C1,your neighborhood,你觉得你家附近的公园在维护方面有哪些可以改进的地方？
Chinese,C1,your favorite time of year,你最喜欢一年中的哪个季节，为什么？
Chinese,C2,how many people are in your family,请问您家里有几口人？
Chinese,C2,how are you today,您今日身心皆安好？
Chinese,C2,how technology has changed the way you learn,技术如何改变了你的学习方式？
Chinese,C2,a skill you'd like to learn,若有机会，你最想精通哪一项汉语技能？
Chinese,C2,your favorite music,你最喜欢听哪种类型的音乐，能给我推荐一两首吗？
Chinese,C2,the biggest difference between your hometown and a big city,你家乡和繁华大都市之间最显著的区别是什么？
Chinese,C2,your favorite place to eat,你最喜欢在哪儿吃那道菜？
Chinese,C2,your neighborhood,你认为咱们小区在提升居民生活品质方面，还有哪些可以进一步挖掘的潜力？
Chinese,C2,your favorite way to spend a rainy day,你最喜欢的雨天消遣方式是什么？
Chinese,C2,describe something you can see around you,你窗外可见的景象是怎样的？
Chinese,C2,your favorite food,你最喜欢的中餐是什么，为什么？
Chinese,C2,what are your plans for today,今天您有什么特别的安排吗？
Portuguese,A1,your favorite place to eat,Onde você mais gosta de comer?
Portuguese,A1,your favorite sport,Qual é o seu esporte favorito?
Portuguese,A1,something that made you happy recently,O que te fez feliz hoje?
Portuguese,A1,a game you enjoy playing,Tu gostas de jogar futebol?
Portuguese,A1,your morning routine,O que você faz primeiro de manhã?
Portuguese,A1,your favorite food,Qual é a sua comida preferida?
Portuguese,A1,how many people are in your family,Quantas pessoas há na sua família?
Portuguese,A1,what is the weather like,Como está o tempo hoje?
Portuguese,A1,a movie or show you watched recently,Gostaste do filme novo?
Portuguese,A1,your daily routine,O que você faz todas as manhãs?
Portuguese,A1,a skill you'd like to learn,Você gosta de cozinhar?
Portuguese,A1,your favorite holiday,Qual é o seu feriado favorito?
Portuguese,A2,your favorite time of year,Qual é a sua estação do ano preferida?
Portuguese,A2,the room you are in right now,Onde você está agora?
Portuguese,A2,your favorite way to relax,Como você prefere relaxar depois de um dia cansativo?
Portuguese,A2,what you had for breakfast,O que você comeu no café da manhã hoje?
Portuguese,A2,your best friend,O que o teu melhor amigo mais gosta de fazer?
Portuguese,A2,your hobbies,O que gostas de fazer nos teus tempos livres?
Portuguese,A2,a game you enjoy playing,Que jogo gostas de jogar?
Portuguese,A2,your favorite season and why,Qual é a sua estação favorita e porquê?
Portuguese,A2,your daily routine,O que você geralmente faz de manhã?
Portuguese,A2,a movie or show you watched recently,Que filme viste recentemente que gostaste muito?
Portuguese,A2,your favorite food,Qual é a sua comida preferida?
Portuguese,A2,your typical breakfast,Qual é o teu pequeno-almoço típico?
Portuguese,B1,a pet you have or would like to have,"Se você pudesse ter um animal de estimação exótico, qual seria e por quê?"
Portuguese,B1,something you used to believe but don't anymore,"Em que acreditava antes, que hoje em dia já não acredita?"
Portuguese,B1,your favorite way to spend a rainy day,Como gosta de passar um dia chuvoso?
Portuguese,B1,a movie or show you watched recently,Que filme você mais gostou de assistir ultimamente?
Portuguese,B1,a mistake you learned something from,Qual foi um erro que te ensinou algo importante?
Portuguese,B1,a piece of advice someone gave you that stuck,Que conselho de alguém te marcou e por quê?
Portuguese,B1,your favorite sport,Qual é o seu desporto preferido e porquê?
Portuguese,B1,your favorite music,Qual tipo de música você mais gosta de ouvir?
Portuguese,B1,the room you are in right now,Que cores predominam na sala onde você está agora?
Portuguese,B1,the biggest difference between your hometown and a big city,Qual é a maior diferença entre a sua cidade natal e uma cidade grande?
Portuguese,B1,your favorite place to eat,Qual é o seu lugar preferido para comer e por quê?
Portuguese,B1,a decision you're proud of,Qual foi a decisão mais gratificante que você tomou ultimamente?
Portuguese,B2,how you spent last weekend,O que você fez no fim de semana passado?
Portuguese,B2,a game you enjoy playing,Qual jogo você gosta de jogar quando tem tempo livre?
Portuguese,B2,something you used to believe but don't anymore,O que você costumava acreditar que hoje em dia considera irreal?
Portuguese,B2,how your city has changed over the years,Como a sua cidade mudou ao longo dos anos?
Portuguese,B2,your daily routine,O que você costuma fazer logo depois de acordar todos os dias?
Portuguese,B2,your favorite type of music to relax to,Que tipo de música você prefere para relaxar?
Portuguese,B2,how are you today,Como você está hoje?
Portuguese,B2,what is the weather like,Que tempo está a fazer hoje?
Portuguese,B2,your family,Quantos irmãos e irmãs você tem?
Portuguese,B2,what did you do yesterday,O que você fez ontem?
Portuguese,B2,the biggest difference between your hometown and a big city,Qual é a maior diferença entre a sua cidade natal e uma metrópole?
Portuguese,B2,how many people are in your family,Quantas pessoas compõem a sua família?
Portuguese,C1,your favorite type of music to relax to,Que tipo de música mais te ajuda a relaxar?
Portuguese,C1,a challenge you overcame recently,Pode descrever um obstáculo recente que enfrentou e como o superou?
Portuguese,C1,a movie or show you watched recently,Que filme ou série recente conseguiu te transportar para outra realidade de forma mais convincente?
Portuguese,C1,a mistake you learned something from,Qual foi um erro significativo que o ajudou a aprender uma lição importante na sua vida?
Portuguese,C1,how are you today,"Como se sente hoje, depois de tudo o que aconteceu?"
Portuguese,C1,how your city has changed over the years,Como a sua cidade se transformou ao longo das últimas décadas?
Portuguese,C1,your morning routine,Que atividades costuma realizar para se preparar para um dia produtivo logo de manhã?
Portuguese,C1,your favorite music,Que tipo de música te inspira mais a expressar os teus sentimentos mais profundos?
Portuguese,C1,your favorite color and why,Qual é a sua cor favorita e por que a escolheu?
Portuguese,C1,the biggest difference between your hometown and a big city,Qual a maior diferença entre sua cidade natal e uma metrópole?
Portuguese,C1,the last gift you gave someone,Qual foi o último presente que você deu a alguém e qual foi o motivo especial para essa escolha?
Portuguese,C1,your best friend,Podes descrever a personalidade do teu melhor amigo em três palavras?
Portuguese,C2,a piece of advice someone gave you that stuck,Qual foi um conselho marcante que recebeu e que continua a guiar as suas ações?
Portuguese,C2,a challenge you overcame recently,Que obstáculo recente você precisou transpor para alcançar um objetivo pessoal ou profissional de grande relevância?
Portuguese,C2,your favorite time of year,Qual a época do ano que mais te encanta e porquê?
Portuguese,C2,your favorite way to spend a rainy day,Como você desfruta de um dia chuvoso quando o tédio bate à porta?
Portuguese,C2,how technology has changed the way you learn,De que forma as ferramentas digitais redefiniram a sua abordagem à aquisição de novos conhecimentos e competências?
Portuguese,C2,a recent trip or a place you'd like to visit,"Considerando as suas experiências de viagem mais memoráveis, qual paisagem natural lhe evoca a mais profunda sensação de admiração e serenidade?"
Portuguese,C2,your hobbies,Quais atividades você tem desenvolvido para aperfeiçoar seu domínio da língua portuguesa em seu tempo livre?
Portuguese,C2,your favorite type of music to relax to,Que tipo de música prefere para relaxar e porquê?
Portuguese,C2,how many people are in your family,Quantos membros compõem o seu núcleo familiar?
Portuguese,C2,how your city has changed over the years,"Como a sua cidade se transformou ao longo dos anos, refletindo as complexidades socioeconómicas e culturais que moldaram a sua identidade contemporânea?"
Portuguese,C2,what did you do yesterday,"Ontem, o que fizeste para te preparares para o teu exame de proficiência mais exigente?"
Portuguese,C2,"what makes a good leader, in your opinion","Na sua opinião, qual é a qualidade mais crucial para um líder eficaz e porquê?"
Italian,A1,what you had for breakfast,Cosa hai mangiato a colazione?
Italian,A1,something that made you happy recently,Cosa ti ha reso felice oggi?
Italian,A1,your favorite music,Qual è la tua musica preferita?
Italian,A1,what are your plans for today,Cosa fai oggi?
Italian,A1,your favorite place to eat,Qual è il tuo posto preferito per mangiare la pizza?
Italian,A1,your best friend,Come si chiama il tuo migliore amico?
Italian,A1,how you spent last weekend,Come hai passato il tuo fine settimana?
Italian,A1,your favorite food,Qual è il tuo cibo preferito?
Italian,A1,a game you enjoy playing,Ti piace giocare a calcio?
Italian,A1,a skill you'd like to learn,Quale nuova abilità vorresti imparare?
Italian,A1,your typical breakfast,Cosa mangi di solito a colazione?
Italian,A1,a language you'd like to speak,Quale lingua vorresti parlare?
Italian,A2,your favorite season and why,Qual è la tua stagione preferita e perché?
Italian,A2,your family,Quante persone ci sono nella tua famiglia?
Italian,A2,describe something you can see around you,Cosa vedi dalla finestra?
Italian,A2,your daily routine,Cosa fai di solito la mattina?
Italian,A2,what is the weather like,Com'è il tempo oggi?
Italian,A2,your favorite sport,Qual è il tuo sport preferito?
Italian,A2,a movie or show you watched recently,Hai visto un film o una serie interessante di recente?
Italian,A2,what are your plans for today,Cosa fai oggi?
Italian,A2,your favorite app or website,Qual è la tua app preferita per imparare nuove parole?
Italian,A2,your favorite way to relax,Qual è il tuo modo preferito per rilassarti?
Italian,A2,your favorite type of music to relax to,Che tipo di musica ascolti per rilassarti?
Italian,A2,what did you do yesterday,Cosa hai fatto ieri?
Italian,B1,how your city has changed over the years,Come è cambiata la tua città negli ultimi vent'anni?
Italian,B1,your favorite sport,Qual è il tuo sport preferito e perché?
Italian,B1,your favorite color and why,Qual è il tuo colore preferito e perché ti piace così tanto?
Italian,B1,your favorite way to relax,Qual è il tuo modo preferito per rilassarti dopo una lunga giornata?
Italian,B1,a pet you have or would like to have,"Se potessi avere un animale domestico, quale sarebbe e perché?"
Italian,B1,your neighborhood,Come descriveresti il tuo quartiere?
